#,Player,OVR,3PT,DNK
1,"Giannis Antetokounmpo NBA All-Star 52 Badges Giannis Antetokounmpo PF / SF | 7'0"" | MIL",97,64,91
27,"Obi Toppin 9 Badges Obi Toppin PF / C | 6'9"" | IND",79,83,90
28,"Kelly Olynyk 3 Badges Kelly Olynyk PF / C | 6'11"" | TOR",79,85,60
29,"Jeremy Sochan 1 Badges Jeremy Sochan PF / SF | 6'8"" | SAS",78,79,80
30,"Kevin Love 13 Badges Kevin Love PF / C | 6'8"" | MIA",78,80,50
31,"P.J. Washington 5 Badges P.J. Washington PF / C | 6'7"" | DAL",78,76,80
32,"Jarred Vanderbilt 7 Badges Jarred Vanderbilt PF / C | 6'8"" | LAL",78,60,75
33,"Marvin Bagley III 5 Badges Marvin Bagley III PF / C | 6'10"" | WAS",78,71,80
34,"Patrick Williams 8 Badges Patrick Williams PF / SF | 6'7"" | CHI",77,84,65
35,"Trayce Jackson-Davis 0 Badges Trayce Jackson-Davis PF / C | 6'9"" | GSW",77,44,80
36,"Saddiq Bey 10 Badges Saddiq Bey PF / SF | 6'7"" | ATL",77,75,60
37,"Jalen Smith 0 Badges Jalen Smith PF / C | 6'9"" | IND",77,74,80
38,"Dorian Finney-Smith 10 Badges Dorian Finney-Smith PF / SF | 6'7"" | BKN",77,84,84
39,"Jabari Walker 0 Badges Jabari Walker PF / SF | 6'7"" | POR",77,72,75
40,"Derrick Jones Jr. 7 Badges Derrick Jones Jr. PF / C | 6'6"" | DAL",77,78,94
41,"Santi Aldama 0 Badges Santi Aldama PF / C | 7'0"" | MEM",77,78,65
42,"Jarace Walker 1 Badges Jarace Walker PF / SF | 6'8"" | IND",76,75,87
43,"Danilo Gallinari 8 Badges Danilo Gallinari PF / SF | 6'10"" | Free Agent",76,76,75
44,"Isaiah Stewart 7 Badges Isaiah Stewart PF / C | 6'8"" | DET",76,80,70
45,"Jordan Nwora 3 Badges Jordan Nwora PF / SF | 6'9"" | TOR",76,84,65
46,"Robert Covington 10 Badges Robert Covington PF / C | 6'7"" | PHI",76,77,65
47,"Grant Williams 6 Badges Grant Williams PF / C | 6'6"" | CHA",76,82,60
48,"Nicolas Batum 2 Badges Nicolas Batum PF / C | 6'8"" | PHI",76,86,60
49,"Jae Crowder 6 Badges Jae Crowder PF / SF | 6'6"" | MIL",76,86,60
50,"Paul Reed 5 Badges Paul Reed PF / C | 6'9"" | PHI",76,69,75
51,"Georges Niang 5 Badges Georges Niang PF / SF | 6'7"" | CLE",76,83,50
52,"Trey Lyles 0 Badges Trey Lyles PF / C | 6'9"" | SAC",76,82,65
53,"Nikola Jovic 0 Badges Nikola Jovic PF / SF | 6'10"" | MIA",75,76,60
54,"Kyle Anderson 6 Badges Kyle Anderson PF / SF | 6'9"" | MIN",75,68,45
55,"Thaddeus Young 5 Badges Thaddeus Young PF / C | 6'8"" | Free Agent",75,57,70
56,"Sasha Vezenkov 5 Badges Sasha Vezenkov PF / SF | 6'9"" | SAC",75,80,65
57,"Chris Boucher 4 Badges Chris Boucher PF / C | 6'9"" | TOR",75,79,80
58,"Javonte Green 1 Badges Javonte Green PF / SF | 6'5"" | Free Agent",75,82,85
59,"Nassir Little 2 Badges Nassir Little PF / SF | 6'5"" | PHX",75,76,82
60,"Torrey Craig 1 Badges Torrey Craig PF / SF | 6'7"" | CHI",75,80,60
61,"Maxi Kleber 7 Badges Maxi Kleber PF / C | 6'10"" | DAL",75,78,75
62,"Jeff Green 1 Badges Jeff Green PF / SF | 6'8"" | HOU",75,76,80
63,"Duop Reath 0 Badges Duop Reath PF / C | 6'9"" | POR",75,80,60
64,"Darius Bazley 1 Badges Darius Bazley PF / C | 6'9"" | Free Agent",74,81,80
65,"Marcus Morris Sr. 2 Badges Marcus Morris Sr. PF / C | 6'8"" | SAS",74,84,70
66,"P.J. Tucker 8 Badges P.J. Tucker PF / SF | 6'5"" | LAC",74,83,60
67,"Rudy Gay 7 Badges Rudy Gay PF | 6'8"" | Free Agent",74,64,70
68,"Chuma Okeke 1 Badges Chuma Okeke PF / SF | 6'8"" | ORL",74,76,50
69,"Andre Iguodala 5 Badges Andre Iguodala PF / C | 6'6"" | Free Agent",74,69,70
70,"Royce O’Neale 2 Badges Royce O’Neale PF / SF | 6'6"" | PHX",74,81,70
71,"Dean Wade 2 Badges Dean Wade PF / SF | 6'9"" | CLE",74,83,75
72,"Haywood Highsmith 3 Badges Haywood Highsmith PF / SF | 6'5"" | MIA",74,78,50
73,"Kenrich Williams 0 Badges Kenrich Williams PF / C | 6'6"" | OKC",74,83,65
74,"Reggie Bullock 3 Badges Reggie Bullock PF / SF | 6'6"" | HOU",74,82,50
75,"Ousmane Dieng 0 Badges Ousmane Dieng PF / SF | 6'9"" | OKC",73,76,75
76,"Taylor Hendricks 0 Badges Taylor Hendricks PF / SF | 6'10"" | UTA",73,76,75
77,"Toumani Camara 0 Badges Toumani Camara PF / SF | 6'8"" | POR",73,72,70
78,"Jeremiah Robinson-Earl 0 Badges Jeremiah Robinson-Earl PF / C | 6'8"" | NOP",73,73,75
79,"Oshae Brissett 0 Badges Oshae Brissett PF / C | 6'7"" | BOS",73,73,75
80,"Keita Bates-Diop 0 Badges Keita Bates-Diop PF / SF | 6'8"" | BKN",73,73,65
81,"Lamar Stevens 3 Badges Lamar Stevens PF / SF | 6'6"" | MEM",73,74,80
82,"Isaiah Roby 2 Badges Isaiah Roby PF / C | 6'8"" | Free Agent",73,73,75
83,"Stanley Johnson 1 Badges Stanley Johnson PF / C | 6'6"" | Free Agent",73,84,70
84,"Vlatko Cancar 0 Badges Vlatko Cancar PF / SF | 6'8"" | DEN",73,82,65
85,"Ish Wainright 1 Badges Ish Wainright PF / SF | 6'5"" | Free Agent",73,76,60
86,"Kris Murray 0 Badges Kris Murray PF / SF | 6'8"" | POR",72,76,75
87,"Jake LaRavia 0 Badges Jake LaRavia PF / SF | 6'7"" | MEM",72,70,75
88,"GG Jackson 0 Badges GG Jackson PF / C | 6'9"" | MEM",72,79,85
89,"Davis Bertans 3 Badges Davis Bertans PF | 6'10"" | CHA",72,83,65
90,"Jontay Porter 0 Badges Jontay Porter PF / C | 6'11"" | TOR",72,73,70
91,"Kevin Knox II 0 Badges Kevin Knox II PF / SF | 6'7"" | Free Agent",72,79,75
92,"Dominick Barlow 0 Badges Dominick Barlow PF | 6'9"" | SAS",72,72,75
93,"Anthony Gill 0 Badges Anthony Gill PF / C | 6'8"" | WAS",72,68,75
94,"Yuta Watanabe 3 Badges Yuta Watanabe PF / C | 6'8"" | MEM",72,78,60
95,"Nathan Knight 1 Badges Nathan Knight PF / C | 6'8"" | Free Agent",72,73,65
96,"Olivier-Maxence Prosper 0 Badges Olivier-Maxence Prosper PF / SF | 6'8"" | DAL",71,73,85
97,"Noah Clowney 0 Badges Noah Clowney PF / C | 6'10"" | BKN",71,68,80
98,"Jarrett Culver 1 Badges Jarrett Culver PF / SF | 6'6"" | Free Agent",71,64,75
99,"J.T. Thor 0 Badges J.T. Thor PF / SF | 6'9"" | CHA",71,74,70
100,"Greg Brown 0 Badges Greg Brown PF / C | 6'7"" | DAL",71,68,80
